year,film,category,winner,won_gg_drama,won_gg_musical
2024,The Zone of Interest,Best Motion Picture - Drama,False,0,0
2024,Past Lives,Best Motion Picture - Drama,False,0,0
2024,Oppenheimer,Best Motion Picture - Drama,True,1,0
2024,Air,Best Motion Picture - Musical or Comedy,False,0,0
2024,American Fiction,Best Motion Picture - Musical or Comedy,False,0,0
2024,Barbie,Best Motion Picture - Musical or Comedy,False,0,0
2024,The Holdovers,Best Motion Picture - Musical or Comedy,False,0,0
2024,May December,Best Motion Picture - Musical or Comedy,False,0,0
2024,Poor Things,Best Motion Picture - Musical or Comedy,True,0,1
2024,Maestro,Best Motion Picture - Drama,False,0,0
2024,Killers of the Flower Moon,Best Motion Picture - Drama,False,0,0
2024,Anatomy of a Fall,Best Motion Picture - Drama,False,0,0
2023,Glass Onion: A Knives Out Mystery,Best Motion Picture - Musical or Comedy,False,0,0
2023,Triangle of Sadness,Best Motion Picture - Musical or Comedy,False,0,0
2023,Avatar: The Way of Water,Best Motion Picture - Drama,False,0,0
2023,Elvis,Best Motion Picture - Drama,False,0,0
2023,The Fabelmans,Best Motion Picture - Drama,True,1,0
2023,TÁR,Best Motion Picture - Drama,False,0,0
2023,Top Gun: Maverick,Best Motion Picture - Drama,False,0,0
2023,Babylon,Best Motion Picture - Musical or Comedy,False,0,0
2023,The Banshees of Inisherin,Best Motion Picture - Musical or Comedy,True,0,1
2023,Everything Everywhere All at Once,Best Motion Picture - Musical or Comedy,False,0,0
2022,West Side Story (2021),Best Motion Picture - Musical or Comedy,True,0,1
2022,"tick, tick...BOOM!",Best Motion Picture - Musical or Comedy,False,0,0
2022,Licorice Pizza,Best Motion Picture - Musical or Comedy,False,0,0
2022,Don't Look Up,Best Motion Picture - Musical or Comedy,False,0,0
2022,Cyrano,Best Motion Picture - Musical or Comedy,False,0,0
2022,The Power of the Dog,Best Motion Picture - Drama,True,1,0
2022,King Richard,Best Motion Picture - Drama,False,0,0
2022,CODA,Best Motion Picture - Drama,False,0,0
2022,Belfast,Best Motion Picture - Drama,False,0,0
2022,Dune,Best Motion Picture - Drama,False,0,0
2021,The Prom,Best Motion Picture - Musical or Comedy,False,0,0
2021,Palm Springs,Best Motion Picture - Musical or Comedy,False,0,0
2021,Music,Best Motion Picture - Musical or Comedy,False,0,0
2021,Hamilton,Best Motion Picture - Musical or Comedy,False,0,0
2021,Borat Subsequent Moviefilm,Best Motion Picture - Musical or Comedy,True,0,1
2021,The Trial of the Chicago 7,Best Motion Picture - Drama,False,0,0
2021,Promising Young Woman,Best Motion Picture - Drama,False,0,0
2021,Nomadland,Best Motion Picture - Drama,True,1,0
2021,Mank,Best Motion Picture - Drama,False,0,0
2021,The Father,Best Motion Picture - Drama,False,0,0
2020,Rocketman,Best Motion Picture - Musical or Comedy,False,0,0
2020,Once Upon a Time...in Hollywood,Best Motion Picture - Musical or Comedy,True,0,1
2020,Knives Out,Best Motion Picture - Musical or Comedy,False,0,0
2020,Jojo Rabbit,Best Motion Picture - Musical or Comedy,False,0,0
2020,Dolemite Is My Name,Best Motion Picture - Musical or Comedy,False,0,0
2020,1917,Best Motion Picture - Drama,True,1,0
2020,The Irishman,Best Motion Picture - Drama,False,0,0
2020,Joker,Best Motion Picture - Drama,False,0,0
2020,Marriage Story,Best Motion Picture - Drama,False,0,0
2020,The Two Popes,Best Motion Picture - Drama,False,0,0
2019,Black Panther,Best Motion Picture - Drama,False,0,0
2019,BlacKkKlansman,Best Motion Picture - Drama,False,0,0
2019,Bohemian Rhapsody,Best Motion Picture - Drama,True,1,0
2019,If Beale Street Could Talk,Best Motion Picture - Drama,False,0,0
2019,"Star Is Born, A (2018)",Best Motion Picture - Drama,False,0,0
2019,Crazy Rich Asians,Best Motion Picture - Musical or Comedy,False,0,0
2019,The Favourite,Best Motion Picture - Musical or Comedy,False,0,0
2019,Green Book,Best Motion Picture - Musical or Comedy,True,0,1
2019,Mary Poppins Returns,Best Motion Picture - Musical or Comedy,False,0,0
2019,Vice,Best Motion Picture - Musical or Comedy,False,0,0
2018,The Disaster Artist,Best Motion Picture - Musical or Comedy,False,0,0
2018,Call Me By Your Name,Best Motion Picture - Drama,False,0,0
2018,Dunkirk,Best Motion Picture - Drama,False,0,0
2018,The Post,Best Motion Picture - Drama,False,0,0
2018,The Shape of Water,Best Motion Picture - Drama,False,0,0
2018,"Three Billboards Outside Ebbing, Missouri",Best Motion Picture - Drama,True,1,0
2018,Get Out,Best Motion Picture - Musical or Comedy,False,0,0
2018,The Greatest Showman,Best Motion Picture - Musical or Comedy,False,0,0
2018,"I, Tonya",Best Motion Picture - Musical or Comedy,False,0,0
2018,Lady Bird,Best Motion Picture - Musical or Comedy,True,0,1
2017,20th Century Women,Best Motion Picture - Musical or Comedy,False,0,0
2017,Deadpool,Best Motion Picture - Musical or Comedy,False,0,0
2017,Florence Foster Jenkins,Best Motion Picture - Musical or Comedy,False,0,0
2017,La La Land,Best Motion Picture - Musical or Comedy,True,0,1
2017,Sing Street,Best Motion Picture - Musical or Comedy,False,0,0
2017,Hacksaw Ridge,Best Motion Picture - Drama,False,0,0
2017,Hell or High Water,Best Motion Picture - Drama,False,0,0
2017,Lion,Best Motion Picture - Drama,False,0,0
2017,Manchester by the Sea,Best Motion Picture - Drama,False,0,0
2017,Moonlight,Best Motion Picture - Drama,True,1,0
2016,The Big Short,Best Motion Picture - Musical or Comedy,False,0,0
2016,Spotlight,Best Motion Picture - Drama,False,0,0
2016,Trainwreck,Best Motion Picture - Musical or Comedy,False,0,0
2016,The Martian,Best Motion Picture - Musical or Comedy,True,0,1
2016,Spy,Best Motion Picture - Musical or Comedy,False,0,0
2016,Joy,Best Motion Picture - Musical or Comedy,False,0,0
2016,The Revenant,Best Motion Picture - Drama,True,1,0
2016,Room,Best Motion Picture - Drama,False,0,0
2016,Mad Max: Fury Road,Best Motion Picture - Drama,False,0,0
2016,Carol,Best Motion Picture - Drama,False,0,0
2015,The Grand Budapest Hotel,Best Motion Picture - Musical or Comedy,True,0,1
2015,Selma,Best Motion Picture - Drama,False,0,0
2015,The Theory of Everything,Best Motion Picture - Drama,False,0,0
2015,Boyhood,Best Motion Picture - Drama,True,1,0
2015,The Imitation Game,Best Motion Picture - Drama,False,0,0
2015,Birdman,Best Motion Picture - Musical or Comedy,False,0,0
2015,Foxcatcher,Best Motion Picture - Drama,False,0,0
2015,St. Vincent,Best Motion Picture - Musical or Comedy,False,0,0
2015,Into the Woods,Best Motion Picture - Musical or Comedy,False,0,0
2015,Pride,Best Motion Picture - Musical or Comedy,False,0,0
2014,Inside Llewyn Davis,Best Motion Picture - Musical or Comedy,False,0,0
2014,Rush,Best Motion Picture - Drama,False,0,0
2014,American Hustle,Best Motion Picture - Musical or Comedy,True,0,1
2014,Nebraska,Best Motion Picture - Musical or Comedy,False,0,0
2014,Her,Best Motion Picture - Musical or Comedy,False,0,0
2014,The Wolf of Wall Street,Best Motion Picture - Musical or Comedy,False,0,0
2014,12 Years a Slave,Best Motion Picture - Drama,True,1,0
2014,Philomena,Best Motion Picture - Drama,False,0,0
2014,Gravity,Best Motion Picture - Drama,False,0,0
2014,Captain Phillips,Best Motion Picture - Drama,False,0,0
2013,Zero Dark Thirty,Best Motion Picture - Drama,False,0,0
2013,Lincoln,Best Motion Picture - Drama,False,0,0
2013,Life of Pi,Best Motion Picture - Drama,False,0,0
2013,Argo,Best Motion Picture - Drama,True,1,0
2013,Django Unchained,Best Motion Picture - Drama,False,0,0
2013,Silver Linings Playbook,Best Motion Picture - Musical or Comedy,False,0,0
2013,Salmon Fishing in the Yemen,Best Motion Picture - Musical or Comedy,False,0,0
2013,Moonrise Kingdom,Best Motion Picture - Musical or Comedy,False,0,0
2013,Les Misérables,Best Motion Picture - Musical or Comedy,True,0,1
2013,The Best Exotic Marigold Hotel,Best Motion Picture - Musical or Comedy,False,0,0
2012,The Descendants,Best Motion Picture - Drama,True,1,0
2012,Moneyball,Best Motion Picture - Drama,False,0,0
2012,The Help,Best Motion Picture - Drama,False,0,0
2012,Hugo,Best Motion Picture - Drama,False,0,0
2012,The Ides of March,Best Motion Picture - Drama,False,0,0
2012,50/50,Best Motion Picture - Musical or Comedy,False,0,0
2012,War Horse,Best Motion Picture - Drama,False,0,0
2012,The Artist,Best Motion Picture - Musical or Comedy,True,0,1
2012,Bridesmaids,Best Motion Picture - Musical or Comedy,False,0,0
2012,My Week With Marilyn,Best Motion Picture - Musical or Comedy,False,0,0
2012,Midnight In Paris,Best Motion Picture - Musical or Comedy,False,0,0
2011,Black Swan,Best Motion Picture - Drama,False,0,0
2011,Burlesque,Best Motion Picture - Musical or Comedy,False,0,0
2011,The Tourist,Best Motion Picture - Musical or Comedy,False,0,0
2011,Red,Best Motion Picture - Musical or Comedy,False,0,0
2011,The Kids Are All Right,Best Motion Picture - Musical or Comedy,True,0,1
2011,The Fighter,Best Motion Picture - Drama,False,0,0
2011,Alice in Wonderland,Best Motion Picture - Musical or Comedy,False,0,0
2011,The Social Network,Best Motion Picture - Drama,True,1,0
2011,The King's Speech,Best Motion Picture - Drama,False,0,0
2011,Inception,Best Motion Picture - Drama,False,0,0
2010,Up In The Air,Best Motion Picture - Drama,False,0,0
2010,Nine,Best Motion Picture - Musical or Comedy,False,0,0
2010,Julie & Julia,Best Motion Picture - Musical or Comedy,False,0,0
2010,It's Complicated,Best Motion Picture - Musical or Comedy,False,0,0
2010,Precious: Based on the novel Push by Sapphire,Best Motion Picture - Drama,False,0,0
2010,Inglourious Basterds,Best Motion Picture - Drama,False,0,0
2010,The Hurt Locker,Best Motion Picture - Drama,False,0,0
2010,Avatar,Best Motion Picture - Drama,True,1,0
2010,The Hangover,Best Motion Picture - Musical or Comedy,True,0,1
2010,(500) Days of Summer,Best Motion Picture - Musical or Comedy,False,0,0
2009,Vicky Cristina Barcelona,Best Motion Picture - Musical or Comedy,True,0,1
2009,Mamma Mia!,Best Motion Picture - Musical or Comedy,False,0,0
2009,In Bruges,Best Motion Picture - Musical or Comedy,False,0,0
2009,Happy-Go-Lucky,Best Motion Picture - Musical or Comedy,False,0,0
2009,Burn After Reading,Best Motion Picture - Musical or Comedy,False,0,0
2009,Slumdog Millionaire,Best Motion Picture - Drama,True,1,0
2009,Revolutionary Road,Best Motion Picture - Drama,False,0,0
2009,The Reader,Best Motion Picture - Drama,False,0,0
2009,Frost/Nixon,Best Motion Picture - Drama,False,0,0
2009,The Curious Case of Benjamin Button,Best Motion Picture - Drama,False,0,0
2008,Atonement,Best Motion Picture - Drama,True,1,0
2008,Sweeney Todd: The Demon Barber of Fleet Street,Best Motion Picture - Musical or Comedy,True,0,1
2008,Juno,Best Motion Picture - Musical or Comedy,False,0,0
2008,Hairspray,Best Motion Picture - Musical or Comedy,False,0,0
2008,Charlie Wilson's War,Best Motion Picture - Musical or Comedy,False,0,0
2008,Across The Universe,Best Motion Picture - Musical or Comedy,False,0,0
2008,There Will Be Blood,Best Motion Picture - Drama,False,0,0
2008,No Country for Old Men,Best Motion Picture - Drama,False,0,0
2008,Michael Clayton,Best Motion Picture - Drama,False,0,0
2008,The Great Debaters,Best Motion Picture - Drama,False,0,0
2008,Eastern Promises,Best Motion Picture - Drama,False,0,0
2008,American Gangster,Best Motion Picture - Drama,False,0,0
2007,The Queen,Best Motion Picture - Drama,False,0,0
2007,The Devil Wears Prada,Best Motion Picture - Musical or Comedy,False,0,0
2007,Dreamgirls,Best Motion Picture - Musical or Comedy,True,0,1
2007,Little Miss Sunshine,Best Motion Picture - Musical or Comedy,False,0,0
2007,Thank You For Smoking,Best Motion Picture - Musical or Comedy,False,0,0
2007,Borat,Best Motion Picture - Musical or Comedy,False,0,0
2007,Little Children,Best Motion Picture - Drama,False,0,0
2007,Babel,Best Motion Picture - Drama,True,1,0
2007,Bobby,Best Motion Picture - Drama,False,0,0
2007,The Departed,Best Motion Picture - Drama,False,0,0
2006,The Constant Gardener,Best Motion Picture - Drama,False,0,0
2006,Brokeback Mountain,Best Motion Picture - Drama,True,1,0
2006,"Good Night, and Good Luck",Best Motion Picture - Drama,False,0,0
2006,A History of Violence,Best Motion Picture - Drama,False,0,0
2006,Walk The Line,Best Motion Picture - Musical or Comedy,True,0,1
2006,The Squid and the Whale,Best Motion Picture - Musical or Comedy,False,0,0
2006,The Producers,Best Motion Picture - Musical or Comedy,False,0,0
2006,Pride & Prejudice,Best Motion Picture - Musical or Comedy,False,0,0
2006,Mrs. Henderson Presents,Best Motion Picture - Musical or Comedy,False,0,0
2006,Match Point,Best Motion Picture - Drama,False,0,0
2005,Eternal Sunshine of The Spotless Mind,Best Motion Picture - Musical or Comedy,False,0,0
2005,Hotel Rwanda,Best Motion Picture - Drama,False,0,0
2005,Finding Neverland,Best Motion Picture - Drama,False,0,0
2005,Closer,Best Motion Picture - Drama,False,0,0
2005,The Aviator,Best Motion Picture - Drama,True,1,0
2005,Sideways,Best Motion Picture - Musical or Comedy,True,0,1
2005,The Phantom of the Opera,Best Motion Picture - Musical or Comedy,False,0,0
2005,Ray,Best Motion Picture - Musical or Comedy,False,0,0
2005,The Incredibles,Best Motion Picture - Musical or Comedy,False,0,0
2005,Million Dollar Baby,Best Motion Picture - Drama,False,0,0
2005,Kinsey,Best Motion Picture - Drama,False,0,0
2004,Master and Commander: The Far Side of the World,Best Motion Picture - Drama,False,0,0
2004,Lost in Translation,Best Motion Picture - Musical or Comedy,True,0,1
2004,Love Actually,Best Motion Picture - Musical or Comedy,False,0,0
2004,Finding Nemo,Best Motion Picture - Musical or Comedy,False,0,0
2004,Big Fish,Best Motion Picture - Musical or Comedy,False,0,0
2004,Bend It Like Beckham,Best Motion Picture - Musical or Comedy,False,0,0
2004,The Lord of the Rings: The Return of the King,Best Motion Picture - Drama,True,1,0
2004,Seabiscuit,Best Motion Picture - Drama,False,0,0
2004,Cold Mountain,Best Motion Picture - Drama,False,0,0
2004,Mystic River,Best Motion Picture - Drama,False,0,0
2003,Chicago,Best Motion Picture - Musical or Comedy,True,0,1
2003,Gangs of New York,Best Motion Picture - Drama,False,0,0
2003,The Lord of the Rings: The Two Towers,Best Motion Picture - Drama,False,0,0
2003,The Pianist,Best Motion Picture - Drama,False,0,0
2003,The Hours,Best Motion Picture - Drama,True,1,0
2003,About a Boy,Best Motion Picture - Musical or Comedy,False,0,0
2003,Adaptation,Best Motion Picture - Musical or Comedy,False,0,0
2003,My Big Fat Greek Wedding,Best Motion Picture - Musical or Comedy,False,0,0
2003,Nicholas Nickleby,Best Motion Picture - Musical or Comedy,False,0,0
2003,About Schmidt,Best Motion Picture - Drama,False,0,0
2002,In the Bedroom,Best Motion Picture - Drama,False,0,0
2002,The Lord of the Rings: The Fellowship of the Ring,Best Motion Picture - Drama,False,0,0
2002,The Man Who Wasn't There,Best Motion Picture - Drama,False,0,0
2002,Mulholland Dr.,Best Motion Picture - Drama,False,0,0
2002,A Beautiful Mind,Best Motion Picture - Drama,True,1,0
2002,Bridget Jones's Diary,Best Motion Picture - Musical or Comedy,False,0,0
2002,Gosford Park,Best Motion Picture - Musical or Comedy,False,0,0
2002,Legally Blonde,Best Motion Picture - Musical or Comedy,False,0,0
2002,Shrek,Best Motion Picture - Musical or Comedy,False,0,0
2002,Moulin Rouge!,Best Motion Picture - Musical or Comedy,True,0,1
2001,Billy Elliot,Best Motion Picture - Drama,False,0,0
2001,Erin Brockovich,Best Motion Picture - Drama,False,0,0
2001,Sunshine,Best Motion Picture - Drama,False,0,0
2001,Almost Famous,Best Motion Picture - Musical or Comedy,True,0,1
2001,"O Brother, Where Art Thou?",Best Motion Picture - Musical or Comedy,False,0,0
2001,Chocolat,Best Motion Picture - Musical or Comedy,False,0,0
2001,Chicken Run,Best Motion Picture - Musical or Comedy,False,0,0
2001,Best in Show,Best Motion Picture - Musical or Comedy,False,0,0
2001,Gladiator,Best Motion Picture - Drama,True,1,0
2001,Wonder Boys,Best Motion Picture - Drama,False,0,0
2001,Traffic,Best Motion Picture - Drama,False,0,0
2000,Notting Hill,Best Motion Picture - Musical or Comedy,False,0,0
2000,Man on the Moon,Best Motion Picture - Musical or Comedy,False,0,0
2000,Being John Malkovich,Best Motion Picture - Musical or Comedy,False,0,0
2000,Analyze This,Best Motion Picture - Musical or Comedy,False,0,0
2000,American Beauty,Best Motion Picture - Drama,True,1,0
2000,The Talented Mr. Ripley,Best Motion Picture - Drama,False,0,0
2000,The Insider,Best Motion Picture - Drama,False,0,0
2000,The Hurricane,Best Motion Picture - Drama,False,0,0
2000,The End of the Affair,Best Motion Picture - Drama,False,0,0
2000,Toy Story 2,Best Motion Picture - Musical or Comedy,True,0,1
1999,Patch Adams,Best Motion Picture - Musical or Comedy,False,0,0
1999,The Mask of Zorro,Best Motion Picture - Musical or Comedy,False,0,0
1999,Bulworth,Best Motion Picture - Musical or Comedy,False,0,0
1999,Saving Private Ryan,Best Motion Picture - Drama,True,1,0
1999,The Truman Show,Best Motion Picture - Drama,False,0,0
1999,The Horse Whisperer,Best Motion Picture - Drama,False,0,0
1999,Elizabeth,Best Motion Picture - Drama,False,0,0
1999,There's Something About Mary,Best Motion Picture - Musical or Comedy,False,0,0
1999,Still Crazy,Best Motion Picture - Musical or Comedy,False,0,0
1999,Gods and Monsters,Best Motion Picture - Drama,False,0,0
1999,Shakespeare in Love,Best Motion Picture - Musical or Comedy,True,0,1
1998,L.A. Confidential,Best Motion Picture - Drama,False,0,0
1998,As Good as It Gets,Best Motion Picture - Musical or Comedy,True,0,1
1998,Titanic,Best Motion Picture - Drama,True,1,0
1998,My Best Friend's Wedding,Best Motion Picture - Musical or Comedy,False,0,0
1998,Men in Black,Best Motion Picture - Musical or Comedy,False,0,0
1998,The Full Monty,Best Motion Picture - Musical or Comedy,False,0,0
1998,The Boxer,Best Motion Picture - Drama,False,0,0
1998,Good Will Hunting,Best Motion Picture - Drama,False,0,0
1998,Amistad,Best Motion Picture - Drama,False,0,0
1998,Wag the Dog,Best Motion Picture - Musical or Comedy,False,0,0
1997,Jerry Maguire,Best Motion Picture - Musical or Comedy,False,0,0
1997,Fargo,Best Motion Picture - Musical or Comedy,False,0,0
1997,Everyone Says I Love You,Best Motion Picture - Musical or Comedy,False,0,0
1997,The Birdcage,Best Motion Picture - Musical or Comedy,False,0,0
1997,The English Patient,Best Motion Picture - Drama,True,1,0
1997,Shine,Best Motion Picture - Drama,False,0,0
1997,Secrets & Lies,Best Motion Picture - Drama,False,0,0
1997,The People vs. Larry Flynt,Best Motion Picture - Drama,False,0,0
1997,Breaking the Waves,Best Motion Picture - Drama,False,0,0
1997,Evita,Best Motion Picture - Musical or Comedy,True,0,1
1996,Babe,Best Motion Picture - Musical or Comedy,True,0,1
1996,Toy Story,Best Motion Picture - Musical or Comedy,False,0,0
1996,Sabrina (1995),Best Motion Picture - Musical or Comedy,False,0,0
1996,Get Shorty,Best Motion Picture - Musical or Comedy,False,0,0
1996,The American President,Best Motion Picture - Musical or Comedy,False,0,0
1996,Sense and Sensibility,Best Motion Picture - Drama,True,1,0
1996,Leaving Las Vegas,Best Motion Picture - Drama,False,0,0
1996,The Bridges of Madison County,Best Motion Picture - Drama,False,0,0
1996,Braveheart,Best Motion Picture - Drama,False,0,0
1996,Apollo 13,Best Motion Picture - Drama,False,0,0
1995,Four Weddings and a Funeral,Best Motion Picture - Musical or Comedy,False,0,0
1995,Nell,Best Motion Picture - Drama,False,0,0
1995,Pulp Fiction,Best Motion Picture - Drama,False,0,0
1995,Quiz Show,Best Motion Picture - Drama,False,0,0
1995,Forrest Gump,Best Motion Picture - Drama,True,1,0
1995,Queen of the Desert Adventures of Priscilla,Best Motion Picture - Musical or Comedy,False,0,0
1995,Ed Wood,Best Motion Picture - Musical or Comedy,False,0,0
1995,Ready to Wear,Best Motion Picture - Musical or Comedy,False,0,0
1995,The Lion King (1994),Best Motion Picture - Musical or Comedy,True,0,1
1995,Legends of the Fall,Best Motion Picture - Drama,False,0,0
1994,Mrs. Doubtfire,Best Motion Picture - Musical or Comedy,True,0,1
1994,Strictly Ballroom,Best Motion Picture - Musical or Comedy,False,0,0
1994,Sleepless in Seattle,Best Motion Picture - Musical or Comedy,False,0,0
1994,Much Ado About Nothing,Best Motion Picture - Musical or Comedy,False,0,0
1994,Dave,Best Motion Picture - Musical or Comedy,False,0,0
1994,Schindler's List,Best Motion Picture - Drama,True,1,0
1994,The Remains of the Day,Best Motion Picture - Drama,False,0,0
1994,The Piano,Best Motion Picture - Drama,False,0,0
1994,In the Name of the Father,Best Motion Picture - Drama,False,0,0
1994,The Age of Innocence,Best Motion Picture - Drama,False,0,0
1993,The Crying Game,Best Motion Picture - Drama,False,0,0
1993,The Player,Best Motion Picture - Musical or Comedy,True,0,1
1993,Sister Act,Best Motion Picture - Musical or Comedy,False,0,0
1993,Honeymoon In Vegas,Best Motion Picture - Musical or Comedy,False,0,0
1993,Enchanted April,Best Motion Picture - Musical or Comedy,False,0,0
1993,Aladdin,Best Motion Picture - Musical or Comedy,False,0,0
1993,Scent of a Woman,Best Motion Picture - Drama,True,1,0
1993,Unforgiven,Best Motion Picture - Drama,False,0,0
1993,Howards End,Best Motion Picture - Drama,False,0,0
1993,"Few Good Men, A",Best Motion Picture - Drama,False,0,0
1992,City Slickers,Best Motion Picture - Musical or Comedy,False,0,0
1992,Bugsy,Best Motion Picture - Drama,True,1,0
1992,JFK,Best Motion Picture - Drama,False,0,0
1992,The Prince of Tides,Best Motion Picture - Drama,False,0,0
1992,The Silence of the Lambs,Best Motion Picture - Drama,False,0,0
1992,The Commitments,Best Motion Picture - Musical or Comedy,False,0,0
1992,Thelma & Louise,Best Motion Picture - Drama,False,0,0
1992,Beauty and the Beast,Best Motion Picture - Musical or Comedy,True,0,1
1992,Fried Green Tomatoes,Best Motion Picture - Musical or Comedy,False,0,0
1992,The Fisher King,Best Motion Picture - Musical or Comedy,False,0,0
1991,Green Card,Best Motion Picture - Musical or Comedy,True,0,1
1991,Pretty Woman,Best Motion Picture - Musical or Comedy,False,0,0
1991,Home Alone,Best Motion Picture - Musical or Comedy,False,0,0
1991,Ghost,Best Motion Picture - Musical or Comedy,False,0,0
1991,Dick Tracy,Best Motion Picture - Musical or Comedy,False,0,0
1991,Dances with Wolves,Best Motion Picture - Drama,True,1,0
1991,Reversal of Fortune,Best Motion Picture - Drama,False,0,0
1991,GoodFellas,Best Motion Picture - Drama,False,0,0
1991,The Godfather Part III,Best Motion Picture - Drama,False,0,0
1991,Avalon,Best Motion Picture - Drama,False,0,0
1990,Glory,Best Motion Picture - Drama,False,0,0
1990,Crimes and Misdemeanors,Best Motion Picture - Drama,False,0,0
1990,Dead Poets Society,Best Motion Picture - Drama,False,0,0
1990,Do The Right Thing,Best Motion Picture - Drama,False,0,0
