year_film,year_ceremony,ceremony,category,canon_category,name,film,winner,total_nominations,year_total_nominations,nomination_share,nomination_number,year,won_gg_drama,won_gg_musical,won_bafta,won_sag_cast,imdb_rating,rt_critics,rt_audience,metacritic,combined_score,avg_textblob_sentiment,avg_vader_sentiment,avg_positive_score,avg_negative_score,sentiment_category,total_precursor_wins,has_precursor_win,precursor_sweep
1994,1995,67,BEST PICTURE,BEST PICTURE,Wendy Finerman/Steve Tisch/Steve Starkey,Forrest Gump,1,13.0,33.0,0.3939393939393939,1,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
1994,1995,67,BEST PICTURE,BEST PICTURE,Duncan Kenworthy,Four Weddings and a Funeral,0,2.0,33.0,0.0606060606060606,2,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
1994,1995,67,BEST PICTURE,BEST PICTURE,Lawrence Bender,Pulp Fiction,0,7.0,33.0,0.2121212121212121,3,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
1994,1995,67,BEST PICTURE,BEST PICTURE,Robert Redford/Michael Jacobs/Julian Krainin/Michael Nozik,Quiz Show,0,4.0,33.0,0.1212121212121212,4,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
1994,1995,67,BEST PICTURE,BEST PICTURE,Niki Marvin,The Shawshank Redemption,0,7.0,33.0,0.2121212121212121,5,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
1995,1996,68,BEST PICTURE,BEST PICTURE,Brian Grazer,Apollo 13,0,9.0,38.0,0.2368421052631578,1,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
1995,1996,68,BEST PICTURE,BEST PICTURE,George Miller/Doug Mitchell/Bill Miller,Babe,0,7.0,38.0,0.1842105263157894,2,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
1995,1996,68,BEST PICTURE,BEST PICTURE,Mel Gibson/Alan Ladd Jr./Bruce Davey,Braveheart,1,10.0,38.0,0.2631578947368421,3,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
1995,1996,68,BEST PICTURE,BEST PICTURE,Mario Cecchi Gori/Vittorio Cecchi Gori/Gaetano Daniele,The Postman (Il Postino),0,5.0,38.0,0.131578947368421,4,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
1995,1996,68,BEST PICTURE,BEST PICTURE,Lindsay Doran,Sense and Sensibility,0,7.0,38.0,0.1842105263157894,5,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
1996,1997,69,BEST PICTURE,BEST PICTURE,Saul Zaentz,The English Patient,1,12.0,36.0,0.3333333333333333,1,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
1996,1997,69,BEST PICTURE,BEST PICTURE,Ethan Coen,Fargo,0,7.0,36.0,0.1944444444444444,2,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
1996,1997,69,BEST PICTURE,BEST PICTURE,James L. Brooks/Laurence Mark/Richard Sakai/Cameron Crowe,Jerry Maguire,0,5.0,36.0,0.1388888888888889,3,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
1996,1997,69,BEST PICTURE,BEST PICTURE,Simon Channing-Williams,Secrets & Lies,0,5.0,36.0,0.1388888888888889,4,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
1996,1997,69,BEST PICTURE,BEST PICTURE,Jane Scott,Shine,0,7.0,36.0,0.1944444444444444,5,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
1997,1998,70,BEST PICTURE,BEST PICTURE,James L. Brooks/Bridget Johnson/Kristi Zea,As Good as It Gets,0,7.0,43.0,0.1627906976744186,1,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
1997,1998,70,BEST PICTURE,BEST PICTURE,Uberto Pasolini,The Full Monty,0,4.0,43.0,0.0930232558139534,2,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
1997,1998,70,BEST PICTURE,BEST PICTURE,Lawrence Bender,Good Will Hunting,0,9.0,43.0,0.2093023255813953,3,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
1997,1998,70,BEST PICTURE,BEST PICTURE,Arnon Milchan/Curtis Hanson/Michael Nathanson,L.A. Confidential,0,9.0,43.0,0.2093023255813953,4,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
1997,1998,70,BEST PICTURE,BEST PICTURE,James Cameron/Jon Landau,Titanic,1,14.0,43.0,0.3255813953488372,5,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
1998,1999,71,BEST PICTURE,BEST PICTURE,Alison Owen/Eric Fellner/Tim Bevan,Elizabeth,0,7.0,45.0,0.1555555555555555,1,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
1998,1999,71,BEST PICTURE,BEST PICTURE,Elda Ferri/Gianluigi Braschi,Life Is Beautiful,0,7.0,45.0,0.1555555555555555,2,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
1998,1999,71,BEST PICTURE,BEST PICTURE,Steven Spielberg/Ian Bryce/Mark Gordon/Gary Levinsohn,Saving Private Ryan,0,11.0,45.0,0.2444444444444444,3,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
1998,1999,71,BEST PICTURE,BEST PICTURE,David Parfitt/Donna Gigliotti/Harvey Weinstein/Edward Zwick/Marc Norman,Shakespeare in Love,1,13.0,45.0,0.2888888888888888,4,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
1998,1999,71,BEST PICTURE,BEST PICTURE,Robert Michael Geisler/John Roberdeau/Grant Hill,The Thin Red Line,0,7.0,45.0,0.1555555555555555,5,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
1999,2000,72,BEST PICTURE,BEST PICTURE,Bruce Cohen/Dan Jinks,American Beauty,1,8.0,32.0,0.25,1,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
1999,2000,72,BEST PICTURE,BEST PICTURE,Richard N. Gladstein,The Cider House Rules,0,7.0,32.0,0.21875,2,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
1999,2000,72,BEST PICTURE,BEST PICTURE,David Valdes/Frank Darabont,The Green Mile,0,4.0,32.0,0.125,3,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
1999,2000,72,BEST PICTURE,BEST PICTURE,Michael Mann/Pieter Jan Brugge,The Insider,0,7.0,32.0,0.21875,4,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
1999,2000,72,BEST PICTURE,BEST PICTURE,Frank Marshall/Kathleen Kennedy/Barry Mendel,The Sixth Sense,0,6.0,32.0,0.1875,5,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2000,2001,73,BEST PICTURE,BEST PICTURE,David Brown/Kit Golden/Leslie Holleran,Chocolat,0,5.0,37.0,0.1351351351351351,1,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2000,2001,73,BEST PICTURE,BEST PICTURE,Bill Kong/Hsu Li Kong/Ang Lee,"Crouching Tiger, Hidden Dragon",0,10.0,37.0,0.2702702702702703,2,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2000,2001,73,BEST PICTURE,BEST PICTURE,Danny DeVito/Michael Shamberg/Stacey Sher,Erin Brockovich,0,5.0,37.0,0.1351351351351351,3,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2000,2001,73,BEST PICTURE,BEST PICTURE,Douglas Wick/David Franzoni/Branko Lustig,Gladiator,1,12.0,37.0,0.3243243243243243,4,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2000,2001,73,BEST PICTURE,BEST PICTURE,Edward Zwick/Marshall Herskovitz/Laura Bickford,Traffic,0,5.0,37.0,0.1351351351351351,5,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2001,2002,74,BEST PICTURE,BEST PICTURE,Brian Grazer/Ron Howard,A Beautiful Mind,1,8.0,41.0,0.1951219512195122,1,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2001,2002,74,BEST PICTURE,BEST PICTURE,Robert Altman/Bob Balaban/David Levy,Gosford Park,0,7.0,41.0,0.1707317073170731,2,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2001,2002,74,BEST PICTURE,BEST PICTURE,Graham Leader/Ross Katz/Todd Field,In the Bedroom,0,5.0,41.0,0.1219512195121951,3,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2001,2002,74,BEST PICTURE,BEST PICTURE,Peter Jackson/Fran Walsh/Barrie M. Osborne,The Lord of the Rings: The Fellowship of the Ring,0,13.0,41.0,0.3170731707317073,4,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2001,2002,74,BEST PICTURE,BEST PICTURE,Martin Brown/Baz Luhrmann/Fred Baron,Moulin Rouge,0,8.0,41.0,0.1951219512195122,5,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2002,2003,75,BEST PICTURE,BEST PICTURE,Martin Richards,Chicago,1,13.0,45.0,0.2888888888888888,1,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2002,2003,75,BEST PICTURE,BEST PICTURE,Alberto Grimaldi/Harvey Weinstein,Gangs of New York,0,10.0,45.0,0.2222222222222222,2,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2002,2003,75,BEST PICTURE,BEST PICTURE,Scott Rudin/Robert Fox,The Hours,0,9.0,45.0,0.2,3,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2002,2003,75,BEST PICTURE,BEST PICTURE,Barrie M. Osborne/Fran Walsh/Peter Jackson,The Lord of the Rings: The Two Towers,0,6.0,45.0,0.1333333333333333,4,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2002,2003,75,BEST PICTURE,BEST PICTURE,Roman Polanski/Robert Benmussa/Alain Sarde,The Pianist,0,7.0,45.0,0.1555555555555555,5,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2003,2004,76,BEST PICTURE,BEST PICTURE,Barrie M. Osborne/Peter Jackson/Fran Walsh,The Lord of the Rings: The Return of the King,1,11.0,38.0,0.2894736842105263,1,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2003,2004,76,BEST PICTURE,BEST PICTURE,Ross Katz/Sofia Coppola,Lost in Translation,0,4.0,38.0,0.1052631578947368,2,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2003,2004,76,BEST PICTURE,BEST PICTURE,Samuel Goldwyn Jr./Peter Weir/Duncan Henderson,Master and Commander: The Far Side of the World,0,10.0,38.0,0.2631578947368421,3,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2003,2004,76,BEST PICTURE,BEST PICTURE,Robert Lorenz/Judie G. Hoyt/Clint Eastwood,Mystic River,0,6.0,38.0,0.1578947368421052,4,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2003,2004,76,BEST PICTURE,BEST PICTURE,Kathleen Kennedy/Frank Marshall/Gary Ross,Seabiscuit,0,7.0,38.0,0.1842105263157894,5,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2004,2005,77,BEST PICTURE,BEST PICTURE,Michael Mann/Graham King,The Aviator,0,11.0,36.0,0.3055555555555556,1,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2004,2005,77,BEST PICTURE,BEST PICTURE,Richard N. Gladstein/Nellie Bellflower,Finding Neverland,0,7.0,36.0,0.1944444444444444,2,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2004,2005,77,BEST PICTURE,BEST PICTURE,Clint Eastwood/Albert S. Ruddy/Tom Rosenberg,Million Dollar Baby,1,7.0,36.0,0.1944444444444444,3,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2004,2005,77,BEST PICTURE,BEST PICTURE,Taylor Hackford/Stuart Benjamin/Howard Baldwin,Ray,0,6.0,36.0,0.1666666666666666,4,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2004,2005,77,BEST PICTURE,BEST PICTURE,Michael London,Sideways,0,5.0,36.0,0.1388888888888889,5,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2005,2006,78,BEST PICTURE,BEST PICTURE,Diana Ossana/James Schamus,Brokeback Mountain,0,8.0,30.0,0.2666666666666666,1,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2005,2006,78,BEST PICTURE,BEST PICTURE,Caroline Baron/William Vince/Michael Ohoven,Capote,0,5.0,30.0,0.1666666666666666,2,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2005,2006,78,BEST PICTURE,BEST PICTURE,Paul Haggis/Cathy Schulman,Crash,1,6.0,30.0,0.2,3,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2005,2006,78,BEST PICTURE,BEST PICTURE,Grant Heslov,"Good Night, and Good Luck.",0,6.0,30.0,0.2,4,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2005,2006,78,BEST PICTURE,BEST PICTURE,Kathleen Kennedy/Steven Spielberg/Barry Mendel,Munich,0,5.0,30.0,0.1666666666666666,5,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2006,2007,79,BEST PICTURE,BEST PICTURE,Alejandro González Iñárritu/Jon Kilik/Steve Golin,Babel,0,7.0,26.0,0.2692307692307692,1,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2006,2007,79,BEST PICTURE,BEST PICTURE,Graham King,The Departed,1,5.0,26.0,0.1923076923076923,2,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2006,2007,79,BEST PICTURE,BEST PICTURE,Clint Eastwood/Steven Spielberg/Robert Lorenz,Letters from Iwo Jima,0,4.0,26.0,0.1538461538461538,3,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2006,2007,79,BEST PICTURE,BEST PICTURE,David T. Friendly/Peter Saraf/Marc Turtletaub,Little Miss Sunshine,0,4.0,26.0,0.1538461538461538,4,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2006,2007,79,BEST PICTURE,BEST PICTURE,Andy Harries/Christine Langan/Tracey Seaward,The Queen,0,6.0,26.0,0.2307692307692307,5,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2007,2008,80,BEST PICTURE,BEST PICTURE,Tim Bevan/Eric Fellner/Paul Webster,Atonement,0,7.0,34.0,0.2058823529411764,1,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2007,2008,80,BEST PICTURE,BEST PICTURE,Lianne Halfon/Mason Novick/Russell Smith,Juno,0,4.0,34.0,0.1176470588235294,2,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2007,2008,80,BEST PICTURE,BEST PICTURE,Sydney Pollack/Jennifer Fox/Kerry Orent,Michael Clayton,0,7.0,34.0,0.2058823529411764,3,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2007,2008,80,BEST PICTURE,BEST PICTURE,Scott Rudin/Ethan Coen/Joel Coen,No Country for Old Men,1,8.0,34.0,0.2352941176470588,4,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2007,2008,80,BEST PICTURE,BEST PICTURE,JoAnne Sellar/Paul Thomas Anderson/Daniel Lupi,There Will Be Blood,0,8.0,34.0,0.2352941176470588,5,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2008,2009,81,BEST PICTURE,BEST PICTURE,Kathleen Kennedy/Frank Marshall/Ceán Chaffin,The Curious Case of Benjamin Button,0,13.0,41.0,0.3170731707317073,1,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2008,2009,81,BEST PICTURE,BEST PICTURE,Brian Grazer/Ron Howard/Eric Fellner,Frost/Nixon,0,5.0,41.0,0.1219512195121951,2,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2008,2009,81,BEST PICTURE,BEST PICTURE,Dan Jinks/Bruce Cohen,Milk,0,8.0,41.0,0.1951219512195122,3,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2008,2009,81,BEST PICTURE,BEST PICTURE,Anthony Minghella/Sydney Pollack/Donna Gigliotti/Redmond Morris,The Reader,0,5.0,41.0,0.1219512195121951,4,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2008,2009,81,BEST PICTURE,BEST PICTURE,Christian Colson,Slumdog Millionaire,1,10.0,41.0,0.2439024390243902,5,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2009,2010,82,BEST PICTURE,BEST PICTURE,James Cameron/Jon Landau,Avatar,0,9.0,54.0,0.1666666666666666,1,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2009,2010,82,BEST PICTURE,BEST PICTURE,Gil Netter/Andrew A. Kosove/Broderick Johnson,The Blind Side,0,2.0,54.0,0.037037037037037,2,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2009,2010,82,BEST PICTURE,BEST PICTURE,Peter Jackson/Carolynne Cunningham,District 9,0,4.0,54.0,0.074074074074074,3,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2009,2010,82,BEST PICTURE,BEST PICTURE,Finola Dwyer/Amanda Posey,An Education,0,3.0,54.0,0.0555555555555555,4,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2009,2010,82,BEST PICTURE,BEST PICTURE,Kathryn Bigelow/Mark Boal/Nicolas Chartier/Greg Shapiro,The Hurt Locker,1,9.0,54.0,0.1666666666666666,5,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2009,2010,82,BEST PICTURE,BEST PICTURE,Lawrence Bender,Inglourious Basterds,0,8.0,54.0,0.1481481481481481,6,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2009,2010,82,BEST PICTURE,BEST PICTURE,Lee Daniels/Sarah Siegel-Magness/Gary Magness,Precious: Based on the Novel 'Push' by Sapphire,0,6.0,54.0,0.1111111111111111,7,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2009,2010,82,BEST PICTURE,BEST PICTURE,Joel Coen/Ethan Coen,A Serious Man,0,2.0,54.0,0.037037037037037,8,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2009,2010,82,BEST PICTURE,BEST PICTURE,Jonas Rivera,Up,0,5.0,54.0,0.0925925925925925,9,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2009,2010,82,BEST PICTURE,BEST PICTURE,Daniel Dubiecki/Ivan Reitman/Jason Reitman,Up in the Air,0,6.0,54.0,0.1111111111111111,10,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2010,2011,83,BEST PICTURE,BEST PICTURE,Mike Medavoy/Brian Oliver/Scott Franklin,Black Swan,0,5.0,69.0,0.072463768115942,1,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2010,2011,83,BEST PICTURE,BEST PICTURE,David Hoberman/Todd Lieberman/Mark Wahlberg,The Fighter,0,7.0,69.0,0.1014492753623188,2,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2010,2011,83,BEST PICTURE,BEST PICTURE,Emma Thomas/Christopher Nolan,Inception,0,8.0,69.0,0.1159420289855072,3,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2010,2011,83,BEST PICTURE,BEST PICTURE,Gary Gilbert/Jeffrey Levy-Hinte/Celine Rattray,The Kids Are All Right,0,4.0,69.0,0.0579710144927536,4,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2010,2011,83,BEST PICTURE,BEST PICTURE,Iain Canning/Emile Sherman/Gareth Unwin,The King's Speech,1,12.0,69.0,0.1739130434782608,5,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2010,2011,83,BEST PICTURE,BEST PICTURE,Christian Colson/Danny Boyle/John Smithson,127 Hours,0,6.0,69.0,0.0869565217391304,6,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2010,2011,83,BEST PICTURE,BEST PICTURE,Scott Rudin/Dana Brunetti/Michael De Luca/Ceán Chaffin,The Social Network,0,8.0,69.0,0.1159420289855072,7,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2010,2011,83,BEST PICTURE,BEST PICTURE,Darla K. Anderson,Toy Story 3,0,5.0,69.0,0.072463768115942,8,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2010,2011,83,BEST PICTURE,BEST PICTURE,Scott Rudin/Ethan Coen/Joel Coen,True Grit,0,10.0,69.0,0.144927536231884,9,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2010,2011,83,BEST PICTURE,BEST PICTURE,Anne Rosellini/Alix Madigan-Yorkin,Winter's Bone,0,4.0,69.0,0.0579710144927536,10,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2011,2012,84,BEST PICTURE,BEST PICTURE,Thomas Langmann,The Artist,1,10.0,51.0,0.196078431372549,1,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2011,2012,84,BEST PICTURE,BEST PICTURE,Jim Burke/Alexander Payne/Jim Taylor,The Descendants,0,5.0,51.0,0.0980392156862745,2,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2011,2012,84,BEST PICTURE,BEST PICTURE,Scott Rudin,Extremely Loud & Incredibly Close,0,2.0,51.0,0.0392156862745098,3,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2011,2012,84,BEST PICTURE,BEST PICTURE,Brunson Green/Chris Columbus/Michael Barnathan,The Help,0,4.0,51.0,0.0784313725490196,4,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2011,2012,84,BEST PICTURE,BEST PICTURE,Graham King/Martin Scorsese,Hugo,0,11.0,51.0,0.2156862745098039,5,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2011,2012,84,BEST PICTURE,BEST PICTURE,Letty Aronson/Stephen Tenenbaum,Midnight in Paris,0,4.0,51.0,0.0784313725490196,6,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2011,2012,84,BEST PICTURE,BEST PICTURE,Michael De Luca/Rachael Horovitz/Brad Pitt,Moneyball,0,6.0,51.0,0.1176470588235294,7,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2011,2012,84,BEST PICTURE,BEST PICTURE,Sarah Green/Bill Pohlad/Dede Gardner/Grant Hill,The Tree of Life,0,3.0,51.0,0.0588235294117647,8,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2011,2012,84,BEST PICTURE,BEST PICTURE,Steven Spielberg/Kathleen Kennedy,War Horse,0,6.0,51.0,0.1176470588235294,9,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2012,2013,85,BEST PICTURE,BEST PICTURE,Margaret Menegoz/Stefan Arndt/Veit Heiduschka/Michael Katz,Amour,0,5.0,65.0,0.0769230769230769,1,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2012,2013,85,BEST PICTURE,BEST PICTURE,Grant Heslov/Ben Affleck/George Clooney,Argo,1,7.0,65.0,0.1076923076923077,2,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2012,2013,85,BEST PICTURE,BEST PICTURE,Dan Janvey/Josh Penn/Michael Gottwald,Beasts of the Southern Wild,0,4.0,65.0,0.0615384615384615,3,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2012,2013,85,BEST PICTURE,BEST PICTURE,Stacey Sher/Reginald Hudlin/Pilar Savone,Django Unchained,0,5.0,65.0,0.0769230769230769,4,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
2012,2013,85,BEST PICTURE,BEST PICTURE,Tim Bevan/Eric Fellner/Debra Hayward/Cameron Mackintosh,Les Misérables,0,8.0,65.0,0.123076923076923,5,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
